Water Volume,Temperature,Rainfall
0,10.9,294
22.7,10.3,212
0.1,9,302
0.1,9.5,287
0,10.3,227
0.4,7.4,237
0.1,10.2,324
0,9.9,280
0,8.6,219
0.1,7.6,280
0,7.6,264
0,8.1,229
0,7.9,241
0,7.7,234
8,8.7,246
11.4,4.7,150
0.2,4.9,280
0,8,219
0.1,9.3,291
0.3,10.2,294
0,10,0
0,10.8,0
0.3,9.9,0
0,9,258
0,10.7,235
0.1,9.7,289
3,7,204
0.1,7.1,420
0,7,275
0,7.9,205
0.1,7.2,0
1.2,7.7,418
8.9,6.2,231
0,3.3,231
0,3.5,228
0,2.9,278
0,8.2,205
0.3,9,214
0,7.1,269
0,4.3,245
0,4.6,244
0,6.8,238
0,6.3,295
0,3.9,221
0,6,228
0,8.1,237
0,7.1,250
0,9.9,290
0,8.9,406
0,7.6,432
0,10.4,264
0,8.3,269
0,8.2,261
0,10.8,261
0,12.6,298
0,12.6,286
0,9.4,248
0.2,8.7,248
0,10.2,236
0.1,9.5,0
0.1,10,0
0.2,9.4,241
0.2,10.3,241
29.7,11.3,238
6.6,8.5,196
0.1,9.1,219
0.3,9.8,240
0.3,11.9,220
0,14.7,0
0,16.5,0
0,15.2,319
0,16.1,229
0,14,235
0,14.7,250
0,17.9,245
0,13.2,249
0.6,10.1,272
11.9,8.5,256
0.2,7.2,211
0.1,10.8,227
0,10.2,273
0,8.6,254
0,14.1,279
0,18.1,267
0,17.4,319
0,17.8,0
0,19.2,0
0,18.5,316
0,17.6,292
0,17.8,326
0,14.3,326
0,13.7,374
0.8,12.3,295
0,12.8,380
0,10.5,253
0.1,9.3,258
2.8,6.2,257
0.8,8,270
0.2,8.6,290
0,12.7,245
3.6,13.4,245
13,10.1,213
11.7,9.9,216
0.3,9.4,229
35,9.3,310
6.5,7.9,308
0.1,8.8,260
0,10.4,397
8.1,9.1,278
35,9.4,233
25.7,10.4,233
18.1,12,228
9.7,10.6,250
6.5,10.2,210
1.4,9.3,211
12.4,10.8,210
26,9.6,214
6.4,8.9,231
0.2,9.5,252
9,8.2,251
7.7,7.6,209
3.9,9.2,208
9.4,10.6,206
54.4,11.6,208
25.1,11.7,210
25.8,11.1,224
4.8,11.7,256
0.1,12.2,206
63.8,14.9,237
0.1,16,237
0.1,18.8,257
0.1,22.2,244
0,21.3,248
0,21,293
0,18.9,253
0.2,15.9,262
0.1,21.5,291
0,22.8,302
0,14.8,311
9.6,12.7,289
11.7,10.6,253
1.6,10.1,203
0.8,13,233
0.3,15.3,224
0,20.2,251
0.1,19.4,246
1.3,14.1,275
0.2,13.4,385
0.3,13.7,233
0.2,14.7,285
0.1,16.3,228
0.1,20.2,272
0,25.8,291
0.3,21.3,288
4.3,16.2,362
0.1,16.7,241
0,18.5,317
2.5,17.8,249
11.5,17.1,234
0.3,14.3,210
0.1,13.7,298
14.9,16.4,250
9.5,15.7,206
2.1,14,218
0.2,13.5,236
0.4,15,245
0.2,15.3,259
1.1,17.8,251
0.3,16.5,272
3.7,15.6,210
0.3,14.2,256
0.3,14,244
25.6,16,241
0.3,14.5,234
0.5,15.8,271
0.2,18.3,323
0,22.9,268
0,26.2,505
0,27.8,368
0,20.6,334
0.1,17.3,241
12.7,16.3,299
0.3,14.1,295
0.2,15.5,262
